          35       2  1025.72D0  0.882D0  1.00000D10
       7     600      2.63833      120.100      35.6000     -68.4000
      121.200      171.500      2261.84       3      43.5904      210.476
      18.2279      6.79867      6.41166      0.00000      0.00000
       9     900      2.85361      124.200      33.6000     -65.6000
      123.400      170.300      2607.18       3      43.5904      210.476
      18.2477      6.41658      6.24299      0.00000      0.00000
      11     600      3.08722      128.900      31.5000     -62.4000
      125.700      168.600      3002.54       3      43.5904      210.476
      18.2698      5.91380      5.66201      0.00000      0.00000
      13     300      3.28722      133.400      29.9000     -59.6000
      127.600      167.000      3355.18       2      43.5904      210.476
      18.2891      5.24454      6.03968      0.00000      0.00000
      15     300      3.48806      138.300      28.3000     -56.6000
      129.400      165.100      3719.71       2      43.5904      210.476
      18.3088      5.09782      5.64448      0.00000      0.00000
      17     300      3.74028      145.100      26.6000     -52.6000
      131.700      162.200      4188.25       2      43.5904      210.476
      18.3340      4.82483      5.64969      0.00000      0.00000
      19     300      3.93833      150.900      25.5000     -49.3000
      133.400      159.700      4561.36       2      43.5904      210.476
      18.3541      4.47326      6.08917      0.00000      0.00000
      21     300      4.19083      158.900      24.3000     -44.9000
      135.400      156.100      5039.31       2      43.5904      210.476
      18.3799      3.82987      5.16778      0.00000      0.00000
      28     300      5.37083     -159.700      24.2000     -20.2000
      142.400      139.500      7163.67       2      43.5904      210.476
      18.5021      3.16894      4.91328      0.00000      0.00000
      30     600      5.58806     -152.700      25.2000     -15.0000
      143.100      137.700      7510.89       2      43.5904      210.476
      18.5244      3.15991      5.24203      0.00000      0.00000
      32     600      5.87083     -144.400      26.8000     -8.00000
      143.700      136.400      7932.02       2      43.5904      210.476
      18.5530      3.07315      4.80063      0.00000      0.00000
      34     600      6.17083     -136.500      28.9000    -0.500000
      144.000      136.000      8335.24       2      43.5904      210.476
      18.5829      3.17203      5.55956      0.00000      0.00000
      36     600      6.47056     -129.500      31.3000      7.10000
      143.800      136.600      8687.66       3      43.5904      210.476
      18.6120      2.99121      5.28628      0.00000      0.00000
      39     600      6.95000      151.500      25.4000      18.8000
      142.600      132.700      6664.44       2      81.3458      267.248
     -13.3409      3.43439      5.55671      0.00000      0.00000
      41     600      7.23861      160.800      24.1000      25.5000
      141.400      135.300      6210.96       2      81.3458      267.248
     -13.3114      3.53885      5.89551      0.00000      0.00000
      43     600      7.53972      171.200      23.3000      32.1000
      139.800      139.100      5714.67       2      81.3458      267.248
     -13.2805      3.82393      5.93467      0.00000      0.00000
      45     600      7.83806     -178.100      23.1000      38.2000
      137.900      143.700      5206.29       2      81.3458      267.248
     -13.2496      4.17033      6.31318      0.00000      0.00000
      47     900      8.05472     -170.300      23.3000      42.4000
      136.300      147.300      4830.68       2      81.3458      267.248
     -13.2272      4.40966      6.51212      0.00000      0.00000
      49     900      8.28750     -162.200      23.9000      46.6000
      134.600      151.100      4424.71       2      81.3458      267.248
     -13.2033      4.65220      6.33200      0.00000      0.00000
      52     900      8.60417     -152.000      25.3000      52.0000
      131.900      156.000      3874.71       2      81.3458      267.248
     -13.1709      5.17195      6.49507      0.00000      0.00000
      54     900      8.80444     -146.000      26.4000      55.2000
      130.200      158.800      3531.94       2      81.3458      267.248
     -13.1507      5.53526      5.64616      0.00000      0.00000
      56     900      9.02083     -140.100      27.8000      58.5000
      128.200      161.400      3169.21       2      81.3458      267.248
     -13.1291      5.83589      6.32159      0.00000      0.00000
      58     900      9.22083     -135.100      29.3000      61.3000
      126.300      163.600      2843.48       2      81.3458      267.248
     -13.1095      6.24974      6.35937      0.00000      0.00000
      60     600      9.43750     -130.100      31.1000      64.3000
      124.200      165.600      2503.64       3      81.3458      267.248
     -13.0885      6.91362      6.57696      0.00000      0.00000
      62     600      9.70417     -124.500      33.4000      67.8000
      121.500      167.600      2107.99       3      81.3458      267.248
     -13.0634      7.65219      6.55724      0.00000      0.00000
      64     600      9.92250     -120.400      35.4000      70.6000
      119.300      169.000      1805.80       3      81.3458      267.248
     -13.0433      8.57539      6.49264      0.00000      0.00000
      66     600      10.1378     -116.700      37.5000      73.1000
      117.000      170.200      1529.51       3      81.3458      267.248
     -13.0241      9.50926      6.74783      0.00000      0.00000
      68     600      10.4044     -158.200      24.4000      76.2000
      114.200      125.600      820.917       2      66.3649      20.6804
     -30.8740      11.2797      6.40323      0.00000      0.00000
      70     600      10.5375     -153.900      25.0000      77.8000
      112.800      128.400      737.545       2      66.3649      20.6804
     -30.8613      11.4844      6.71077      0.00000      0.00000
      72     600      10.6711     -149.800      25.7000      79.2000
      111.300      131.000      658.560       2      66.3649      20.6804
     -30.8486      11.8543      6.47353      0.00000      0.00000
      74     600      10.7878     -146.400      26.4000      80.5000
      110.100      133.100      593.634       2      66.3649      20.6804
     -30.8376      12.3396      6.47297      0.00000      0.00000
      76     600      10.9211     -142.600      27.2000      82.0000
      108.600      135.400      524.206       2      66.3649      20.6804
     -30.8251      12.8281      6.40775      0.00000      0.00000
      78     600      11.0375     -139.500      28.0000      83.2000
      107.400      137.300      467.873       2      66.3649      20.6804
     -30.8144      13.4252      6.49634      0.00000      0.00000
      80     300      11.1886     -135.700      29.1000      84.8000
      105.700      139.500      400.805       2      66.3649      20.6804
     -30.8005      14.4330      6.20463      0.00000      0.00000
      82     300      11.3211     -132.600      30.2000      86.2000
      104.300      141.200      347.723       3      66.3649      20.6804
     -30.7885      14.9535      6.75787      0.00000      0.00000
