           69.0       2  1025.72D0  0.882D0  1.00000D10
     -21.3782      6.13939      6.17677      0.00000      0.00000
      14     600      4.46250      76.8000      16.7000     -27.8000
      126.200      104.600      1759.56       2     -13.9091      102.878
     -18.9048      6.37773      6.41761      0.00000      0.00000
      16     600      4.66694      77.1000      14.5000     -24.2000
      127.200      101.300      1838.72       1     -13.9091      102.878
     -18.8900      6.17799      5.88017      0.00000      0.00000
      17     600      4.84389      77.2000      12.6000     -21.0000
      128.000      98.1000      1899.23       1     -13.9091      102.878
     -18.8770      5.97694      6.23134      0.00000      0.00000
      19     600      5.04111      76.8000      10.5000     -17.4000
      128.700      94.2000      1957.25       1     -13.9091      102.878
     -18.8624      5.98434      6.06757      0.00000      0.00000
      20     600      5.22167      75.9000      8.60000     -14.0000
      129.200      89.8000      2001.15       1     -13.9091      102.878
     -18.8488      6.03129      6.26485      0.00000      0.00000
      21     600      5.39806      73.9000      6.70000     -10.6000
      129.600      84.5000      2035.15       1     -13.9091      102.878
     -18.8355      5.92876      6.13437      0.00000      0.00000
      25     600      5.87389      42.1000      2.10000     -1.40000
      130.200      43.5000      2081.13       1     -13.9091      102.878
     -18.7991      5.83531      7.00721      0.00000      0.00000
      27     600      6.06806     -25.0000      1.70000      2.40000
      130.200      27.4000      2080.26       1     -13.9091      102.878
     -18.7842      5.95834      6.05636      0.00000      0.00000
      28     600      6.24833     -59.3000      3.10000      5.90000
      130.000      65.2000      2069.23       1     -13.9091      102.878
     -18.7703      5.92439      5.99662      0.00000      0.00000
      30     600      6.44222     -70.2000      5.00000      9.60000
      129.700      79.9000      2046.49       1     -13.9091      102.878
     -18.7555      6.15658      6.39687      0.00000      0.00000
      34     600      6.87083     -76.4000      9.50000      17.8000
      128.600      94.2000      1957.48       1     -13.9091      102.878
     -18.7230      6.24363      6.21532      0.00000      0.00000
      35     600      7.04778     -77.0000      11.4000      21.0000
      128.000      98.0000      1905.96       1     -13.9091      102.878
     -18.7098      6.61018      6.47393      0.00000      0.00000
      37     600      7.23972     -77.2000      13.5000      24.5000
      127.200      101.700      1841.02       1     -13.9091      102.878
     -18.6956      6.71274      6.29881      0.00000      0.00000
      38     600      7.41611     -77.0000      15.4000      27.6000
      126.300      104.600      1773.59       2     -13.9091      102.878
     -18.6827      6.83810      6.72497      0.00000      0.00000
      40     600      7.60944     -76.7000      17.4000      30.9000
      125.300      107.600      1691.87       2     -13.9091      102.878
     -18.6688      7.14508      6.34255      0.00000      0.00000
      41     600      7.78722     -76.2000      19.3000      33.9000
      124.300      110.100      1610.26       2     -13.9091      102.878
     -18.6562      7.45137      6.36536      0.00000      0.00000
      44     600      8.21167     -56.1000      2.80000      40.6000
      121.500      96.7000      1241.52       1     -18.2650      124.537
     -22.0374      8.25579      6.42583      0.00000      0.00000
      46     600      8.40111     -69.0000      4.60000      43.5000
      120.100      112.500      1148.05       1     -18.2650      124.537
     -22.0233      8.49658      6.19834      0.00000      0.00000
      47     600      8.58028     -73.6000      6.50000      46.1000
      118.700      119.700      1058.33       1     -18.2650      124.537
     -22.0100      8.74773      6.19373      0.00000      0.00000
      49     600      8.76722     -75.8000      8.50000      48.8000
      117.200      124.600      964.325       1     -18.2650      124.537
     -21.9962      9.34456      6.38793      0.00000      0.00000
      50     600      8.94750     -76.8000      10.4000      51.2000
      115.700      128.000      874.207       1     -18.2650      124.537
     -21.9830      9.59790      6.22738      0.00000      0.00000
      52     600      9.13306     -77.2000      12.4000      53.7000
      114.100      130.900      782.972       1     -18.2650      124.537
     -21.9696      10.2452      6.50841      0.00000      0.00000
      53     600      9.31278     -77.2000      14.3000      56.0000
      112.500      133.200      696.991       1     -18.2650      124.537
     -21.9567      10.6579      6.26378      0.00000      0.00000
      54     600      9.48972     -76.9000      16.2000      58.3000
      110.800      135.200      615.489       2     -18.2650      124.537
     -21.9442      11.2551      6.47318      0.00000      0.00000
      56     600      9.67417     -76.5000      18.2000      60.5000
      109.100      137.100      534.728       2     -18.2650      124.537
     -21.9314      11.9890      6.41041      0.00000      0.00000
      57     600      9.84944     -76.1000      20.1000      62.6000
      107.400      138.700      462.714       2     -18.2650      124.537
     -21.9195      12.5306      6.49486      0.00000      0.00000
       7     600      5.76167      50.7000      2.40000     -3.50000
      130.500      54.2000      2121.97       1     -13.9091      102.878
     -18.4862      5.69211      6.21805      0.00000      0.00000
       9     600      5.98917     -20.4000      1.60000      1.00000
      130.600      21.4000      2127.78       1     -13.9091      102.878
     -18.4687      5.53795      6.60023      0.00000      0.00000
      11     600      6.20111     -60.9000      3.20000      5.10000
      130.400      66.1000      2118.84       1     -13.9091      102.878
     -18.4524      5.63915      5.94845      0.00000      0.00000
      12     600      6.38028     -70.3000      5.00000      8.60000
      130.200      78.9000      2100.55       1     -13.9091      102.878
     -18.4387      5.93723      6.62781      0.00000      0.00000
      16     600      6.89750      14.5000      1.60000      18.5000
      128.900      3.90000      1930.27       1     -17.3348      113.373
     -20.3278      5.97401      6.18021      0.00000      0.00000
      18     600      7.08500     -46.7000      2.20000      21.9000
      128.200      68.6000      1869.63       1     -17.3348      113.373
     -20.3135      6.38482      6.69034      0.00000      0.00000
      19     600      7.26028     -65.3000      3.80000      25.1000
      127.400      90.4000      1805.48       1     -17.3348      113.373
     -20.3001      6.49148      6.79352      0.00000      0.00000
      21     600      7.46833     -72.7000      6.00000      28.8000
      126.400      101.400      1720.79       1     -17.3348      113.373
     -20.2843      6.52523      6.62744      0.00000      0.00000
      25     600      7.91139      8.00000      1.50000      36.2000
      123.800      28.1000      1417.69       1     -18.2650      124.537
     -21.7855      7.14349      6.21251      0.00000      0.00000
      26     600      8.09278     -48.5000      2.30000      39.1000
      122.600      87.6000      1330.35       1     -18.2650      124.537
     -21.7719      7.39880      6.41664      0.00000      0.00000
      28     600      8.28167     -66.6000      4.10000      42.0000
      121.200      108.600      1236.44       1     -18.2650      124.537
     -21.7578      7.77255      6.40029      0.00000      0.00000
      29     600      8.46083     -72.6000      5.90000      44.7000
      119.900      117.300      1145.43       1     -18.2650      124.537
     -21.7444      7.98265      6.28354      0.00000      0.00000
      31     600      8.70389     -75.8000      8.50000      48.2000
      118.000      124.000      1020.56       1     -18.2650      124.537
     -21.7264      8.75167      6.48047      0.00000      0.00000
      33     600      9.03972     -77.1000      12.1000      52.8000
      115.100      129.900      849.186       1     -18.2650      124.537
     -21.7019      9.18322      6.32774      0.00000      0.00000
      35     600      9.23028     -77.2000      14.1000      55.3000
      113.500      132.500      754.563       1     -18.2650      124.537
     -21.6882      10.0668      6.39144      0.00000      0.00000
      36     600      9.40944     -77.0000      16.1000      57.6000
      111.800      134.500      668.533       2     -18.2650      124.537
     -21.6755      10.7331      6.35652      0.00000      0.00000
      38     600      9.60389     -76.6000      18.1000      60.0000
      110.000      136.600      579.410       2     -18.2650      124.537
     -21.6620      11.3524      6.33182      0.00000      0.00000
      39     600      9.78111     -76.1000      20.0000      62.1000
      108.300      138.200      502.886       2     -18.2650      124.537
     -21.6499      11.8346      6.51833      0.00000      0.00000
      41     600      9.97389     -75.4000      22.1000      64.4000
      106.400      139.900      425.622       2     -18.2650      124.537
     -21.6370      12.7861      6.31948      0.00000      0.00000
      42     600      10.1542     -74.8000      24.0000      66.5000
      104.700      141.300      359.731       2     -18.2650      124.537
     -21.6252      13.2961      6.49268      0.00000      0.00000
      43     600      10.3281     -74.1000      25.8000      68.5000
      102.900      142.600      302.577       2     -18.2650      124.537
     -21.6142      13.5321      6.20443      0.00000      0.00000
