           57.0       2  1025.72D0  0.882D0  1.00000D10
       4     600      2.01667      9.60000      15.1000     -57.3000
      101.200      66.9000      221.998       2      53.0010      148.503
      15.2511      9.51473      6.53217      0.00000      0.00000
       5     600      2.19667      4.10000      14.9000     -55.2000
      102.800      59.3000      258.958       1      53.0010      148.503
      15.2600      9.64891      6.66433      0.00000      0.00000
       7     900      2.40306     -2.30000      14.9000     -52.8000
      104.600      50.5000      305.583       1      53.0010      148.503
      15.2701      9.57982      6.43533      0.00000      0.00000
       8     600      2.58944     -8.10000      15.0000     -50.5000
      106.200      42.5000      350.875       2      53.0010      148.503
      15.2793      9.38845      6.61239      0.00000      0.00000
      10     600      2.78472     -13.8000      15.5000     -48.1000
      107.800      34.3000      400.805       2      53.0010      148.503
      15.2889      9.12449      6.54056      0.00000      0.00000
      12     600      3.04222     -20.7000      16.3000     -44.8000
      109.900      24.2000      469.212       2      53.0010      148.503
      15.3014      8.91623      6.60787      0.00000      0.00000
      14     600      3.23944     -25.3000      17.1000     -42.2000
      111.400      16.9000      522.564       2      53.0010      148.503
      15.3110      8.81884      6.76444      0.00000      0.00000
      15     600      3.42361     -29.1000      18.1000     -39.7000
      112.700      10.6000      572.368       2      53.0010      148.503
      15.3197      8.68475      6.76414      0.00000      0.00000
      17     600      3.63167     -32.7000      19.2000     -36.8000
      114.100      4.10000      627.825       2      53.0010      148.503
      15.3295      8.52849      6.40363      0.00000      0.00000
      18     600      3.83389     -35.7000      20.5000     -33.9000
      115.400      1.90000      680.133       2      53.0010      148.503
      15.3388      8.25376      6.63537      0.00000      0.00000
      20     600      4.03167     -38.2000      21.8000     -31.0000
      116.500      7.20000      729.062       2      53.0010      148.503
      15.3477      8.17808      6.59670      0.00000      0.00000
      22     600      4.33389     -41.2000      23.9000     -26.4000
      118.100      14.8000      798.130       2      53.0010      148.503
      15.3610      7.83951      6.29274      0.00000      0.00000
      24     600      4.57000     -42.9000      25.7000     -22.7000
      119.200      20.2000      846.150       2      53.0010      148.503
      15.3709      8.06865      6.26360      0.00000      0.00000
      30     600      5.57111      161.800      44.5000     -6.10000
      121.900      167.900      3543.68       3      48.9026      356.961
     -13.4828      4.83565      5.98299      0.00000      0.00000
      31     600      5.84167      167.600      43.7000     -1.50000
      122.100      169.000      3505.05       3      48.9026      356.961
